iter	RMSE
254	56946.20892
255	56944.42978
256	56941.99305
257	56940.18781
258	56938.35964
259	56936.75473
260	56935.92506
261	56934.00327
262	56933.4285
263	56931.72511
264	56929.39912
265	56927.63355
266	56925.62802
267	56924.97452
268	56922.54882
269	56918.84534
270	56917.14087
271	56915.90743
272	56913.06713
273	56911.33284
274	56908.83233
275	56905.58858
276	56903.81859
277	56902.06131
278	56900.87939
279	56899.891
280	56897.31289
281	56896.13969
282	56894.28164
283	56892.5048
284	56890.83624
285	56888.32813
286	56887.45206
287	56884.35788
288	56883.57437
289	56882.10274
290	56879.73863
291	56878.57045
292	56876.56421
293	56875.60637
294	56874.0772
295	56872.75915
296	56871.65155
297	56869.05003
298	56867.57256
299	56865.01961
300	56862.96609
301	56862.25416
302	56861.62473
303	56859.95031
304	56858.32372
305	56855.55732
306	56853.98957
307	56852.86834
308	56850.92582
309	56849.05857
310	56846.60852
311	56845.75293
312	56844.32382
313	56843.17167
314	56842.00559
315	56840.32637
316	56838.91516
317	56838.55136
318	56837.60877
319	56836.50536
320	56835.65716
321	56834.3466
322	56833.08692
323	56830.92391
324	56829.07748
325	56827.33097
326	56824.46399
327	56822.65946
328	56820.64534
329	56819.26953
330	56818.09398
331	56816.74319
332	56815.75796
333	56814.97036
334	56813.99568
335	56812.90976
336	56811.53349
337	56810.46834
338	56809.89292
339	56808.85956
340	56808.34563
341	56807.4301
342	56805.82273
343	56805.04788
344	56803.85197
345	56802.38826
346	56801.96131
347	56801.2768
348	56800.3083
349	56799.44298
350	56796.66906
351	56795.67082
352	56793.9158
353	56792.68379
354	56791.37655
355	56790.22784
356	56789.64805
357	56788.54914
358	56787.2079
359	56785.43442
360	56782.4269
361	56781.20245
362	56780.21531
363	56779.83617
364	56779.43743
365	56778.41253
366	56776.64983
367	56775.70422
368	56774.34529
369	56773.14196
370	56771.98795
371	56770.06752
372	56768.53713
373	56767.91178
374	56766.72895
375	56766.25551
376	56765.72566
377	56764.4491
378	56763.75983
379	56762.63393
380	56761.34648
381	56759.84167
382	56758.41154
383	56757.55512
384	56756.72725
385	56755.4417
386	56753.82761
387	56751.93248
388	56751.34321
389	56749.81226
390	56748.83453
391	56748.12651
392	56747.47701
393	56746.91249
394	56745.58283
395	56743.49503
396	56741.81792
397	56740.92303
398	56739.68989
399	56738.86836
400	56737.76904
401	56736.54069
402	56733.56157
403	56731.87045
404	56729.59617
405	56728.77027
406	56727.97319
407	56727.08029
408	56725.79625
409	56725.40352
410	56724.50433
411	56722.39946
412	56721.39661
413	56720.72749
414	56719.28808
415	56718.28453
416	56717.74982
417	56716.81185
418	56715.81082
419	56715.13234
420	56713.64334
421	56710.99908
422	56709.40829
423	56708.96315
424	56707.86367
425	56705.73312
426	56704.06936
427	56702.08767
428	56701.28504
429	56700.56145
430	56699.97483
431	56699.16756
432	56698.20379
433	56697.39101
434	56695.85816
435	56695.46363
436	56693.3689
437	56692.7777
438	56691.5662
439	56690.69362
440	56690.29132
441	56689.39973
442	56688.72109
443	56687.28065
444	56686.88353
445	56686.38104
446	56684.42538
447	56683.76608
448	56682.98559
449	56682.01737
450	56681.55706
451	56680.25687
452	56678.81476
453	56678.02184
454	56676.10135
455	56675.34616
456	56674.33269
457	56673.2821
458	56672.36307
459	56671.1105
460	56670.60019
461	56668.80603
462	56668.65138
463	56668.10841
464	56667.04812
465	56664.83509
466	56664.27483
467	56663.55429
468	56662.44577
469	56662.01254
470	56661.37427
471	56660.95873
472	56660.23945
473	56659.78977
474	56658.8317
475	56658.1009
476	56657.59177
477	56656.70499
478	56656.39531
479	56656.05664
480	56654.58446
481	56654.09394
482	56652.99268
483	56652.30522
484	56650.90014
485	56649.9262
486	56649.19092
487	56648.37237
488	56647.85939
489	56647.24636
490	56646.80272
491	56645.71348
492	56645.20685
493	56644.27925
494	56643.77765
495	56643.13123
496	56642.6643
497	56641.44165
498	56640.7983
499	56638.74553
500	56638.29935
501	56637.89064
502	56637.42651
503	56636.26352
504	56635.38349
505	56633.5659
506	56633.10299
507	56632.42752
508	56631.84888
509	56631.3722
510	56630.72441
511	56630.43222
512	56630.21583
513	56629.56301
514	56628.29555
515	56627.93344
516	56626.09881
517	56625.43106
518	56624.51274
519	56623.96768
520	56622.81203
521	56622.05316
522	56621.55779
523	56620.54487
524	56620.15679
525	56619.13122
526	56618.22827
527	56617.49266
528	56616.71764
529	56615.84036
530	56615.0529
531	56614.45928
532	56613.69584
533	56612.86126
534	56612.00154
535	56611.38813
536	56610.6487
537	56610.14517
538	56609.89663
539	56609.61337
540	56609.06425
541	56608.42117
542	56607.57146
543	56606.7947
544	56606.07037
545	56605.47451
546	56604.75249
547	56604.40359
548	56604.16475
549	56603.25031
550	56602.2315
551	56601.45255
552	56600.71681
553	56600.33324
554	56600.19242
555	56599.34011
556	56598.34289
557	56596.55039
558	56596.05034
559	56595.17966
560	56594.64797
561	56594.3671
562	56593.65668
563	56593.32733
564	56593.26645
565	56592.54441
566	56591.79753
567	56591.35845
568	56590.87291
569	56590.44173
570	56589.40631
571	56589.06709
572	56588.41391
573	56588.12008
574	56587.66912
575	56586.82748
576	56586.26285
577	56586.02344
578	56584.95738
579	56584.37016
580	56582.95939
581	56582.55558
582	56581.8806
583	56581.35078
584	56581.02662
585	56580.57054
586	56580.13665
587	56579.48506
588	56578.44936
589	56577.91954
590	56577.07634
591	56576.12049
592	56575.64846
593	56575.24249
594	56574.12603
595	56573.81255
596	56573.41377
597	56573.04858
598	56572.64238
599	56572.3807
600	56571.77066
601	56571.31548
602	56570.73026
603	56569.96648
604	56569.54391
605	56569.24438
606	56568.57647
607	56567.70065
608	56566.35657
609	56565.88488
610	56565.48671
611	56565.09231
612	56563.91287
613	56563.34271
614	56562.88884
615	56562.52053
616	56562.06494
617	56561.80807
618	56561.41025
619	56561.08009
620	56560.43892
621	56560.11863
622	56559.96226
623	56559.65217
624	56559.13246
625	56558.49936
626	56557.82566
627	56557.23937
628	56557.0895
629	56556.00124
630	56555.62928
631	56555.38974
632	56554.94902
633	56554.57515
634	56554.33905
635	56553.71898
636	56553.2364
637	56552.79635
638	56551.75203
639	56550.28388
640	56549.97921
641	56549.05278
642	56548.64214
643	56548.32663
644	56547.74884
645	56547.32611
646	56545.97679
647	56545.29381
648	56544.1699
649	56542.96502
650	56542.25223
651	56541.75989
652	56541.27175
653	56540.77791
654	56540.39194
655	56539.41997
656	56539.27279
657	56539.19462
658	56539.14032
659	56538.92899
660	56538.04863
661	56537.83898
662	56537.28647
663	56537.12654
664	56536.70253
665	56536.42122
666	56536.21123
667	56535.57193
668	56535.37034
669	56534.95727
670	56534.16395
671	56534.02946
672	56533.26347
673	56532.9397
674	56532.45046
675	56531.7372
676	56531.29911
677	56530.70965
678	56530.60213
679	56528.90872
680	56528.60288
681	56528.02893
682	56526.98403
683	56526.58935
684	56526.09405
685	56525.97694
686	56525.33811
687	56525.21843
688	56524.8526
689	56524.27157
690	56524.03385
691	56523.44578
692	56522.47898
693	56521.85411
694	56521.54429
695	56521.07549
696	56520.62285
697	56520.33631
698	56520.08903
699	56519.86235
700	56519.43525
701	56518.91891
702	56518.33245
703	56518.30376
704	56518.12257
705	56517.304
706	56516.78323
707	56516.48088
708	56515.73524
709	56515.52135
710	56515.4354
711	56515.22171
712	56514.79786
713	56514.33358
714	56513.85552
715	56513.52899
716	56513.07055
717	56512.36489
718	56511.69805
719	56511.26451
720	56511.00721
721	56510.23789
722	56509.62064
723	56508.72255
724	56508.4367
725	56508.28548
726	56508.0021
727	56507.75401
728	56507.28941
729	56507.01017
730	56506.57111
731	56506.31142
732	56505.63188
733	56504.83152
734	56504.48891
735	56504.24393
736	56503.17595
737	56502.49753
738	56501.79835
739	56501.48474
740	56501.0883
741	56500.23691
742	56499.86322
743	56498.84555
744	56498.10622
745	56497.79508
746	56497.59465
747	56497.26685
748	56497.04373
749	56496.72362
750	56496.46114
751	56496.39033
752	56496.1949
753	56495.90903
754	56495.661
755	56495.10648
756	56494.51634
757	56494.12426
758	56493.73585
759	56492.62842
760	56492.35861
761	56491.75492
762	56491.46384
763	56491.14301
764	56490.24829
765	56489.76793
766	56489.03879
767	56488.81028
768	56488.57225
769	56487.6973
770	56487.28344
771	56486.97561
772	56486.45967
773	56486.10266
774	56485.61399
775	56484.99444
776	56484.61324
777	56484.19106
778	56483.77135
779	56483.58461
780	56483.00277
781	56482.73866
782	56481.47368
783	56480.81007
784	56480.40921
785	56479.86647
786	56479.73742
787	56479.44348
788	56478.85602
789	56478.7526
790	56478.6061
791	56477.92481
792	56477.71704
793	56477.35279
794	56477.03826
795	56476.64579
796	56476.2842
797	56476.14882
798	56476.11629
799	56475.60065
800	56475.28388
801	56474.97006
802	56474.64698
803	56474.02842
804	56473.96719
805	56473.46089
806	56473.10439
807	56472.97863
808	56472.78843
809	56472.61076
810	56472.31384
811	56471.87041
812	56471.35175
813	56470.23889
814	56470.11066
815	56469.42873
816	56469.0462
817	56468.76333
818	56468.32939
819	56468.20306
820	56467.88177
821	56467.52122
822	56467.25562
823	56467.0708
824	56466.67352
825	56466.48161
826	56466.07478
827	56465.84325
828	56465.57499
829	56465.0774
830	56464.50009
831	56464.14564
832	56463.70095
833	56463.59936
834	56463.45713
835	56463.30971
836	56463.09717
837	56462.79006
838	56462.57714
839	56462.26401
840	56461.75323
841	56461.53293
842	56460.85406
843	56460.58126
844	56460.19099
845	56459.8381
846	56459.62282
847	56459.34495
848	56459.06867
849	56458.84702
850	56458.60666
851	56457.89373
852	56457.36819
853	56457.09711
854	56457.00711
855	56456.75359
856	56456.429
857	56456.05129
858	56454.13249
859	56453.93915
860	56453.6502
861	56453.03437
862	56452.72731
863	56452.38543
864	56451.92664
865	56451.70433
866	56451.54245
867	56450.54198
868	56450.352
869	56450.10004
870	56448.86898
871	56448.48399
872	56448.1309
873	56447.83037
874	56447.5984
875	56446.28873
876	56446.07379
877	56445.93357
878	56445.71209
879	56445.33704
880	56444.16111
881	56444.00996
882	56443.50981
883	56443.16095
884	56443.09752
885	56442.91877
886	56442.8454
887	56442.41247
888	56442.19194
889	56441.93806
890	56441.36959
891	56441.00584
892	56440.79845
893	56440.54054
894	56439.37033
895	56439.07663
896	56438.89513
897	56438.8389
898	56438.65872
899	56438.6132
900	56438.50546
901	56438.29982
902	56437.98609
903	56437.72345
904	56437.5587
905	56437.41327
906	56437.00063
907	56436.55661
908	56436.30601
909	56436.17128
910	56435.98737
911	56435.65871
912	56435.5247
913	56435.15519
914	56434.96097
915	56434.79867
916	56434.67574
917	56434.49974
918	56434.42597
919	56433.94635
920	56433.89238
921	56433.11191
922	56432.9005
923	56432.63805
924	56432.23734
925	56431.9812
926	56431.45941
927	56431.37367
928	56431.14694
929	56431.00383
930	56430.63957
931	56430.08822
932	56429.78965
933	56429.66306
934	56429.47586
935	56429.11002
936	56428.95697
937	56428.74648
938	56428.48774
939	56428.0234
940	56427.61873
941	56427.39954
942	56426.88554
943	56426.51238
944	56426.26417
945	56426.13545
946	56426.03401
947	56425.76492
948	56425.49326
949	56425.25304
950	56424.96717
951	56424.59197
952	56424.42186
953	56423.95041
954	56423.40818
955	56423.32689
956	56423.11143
957	56422.79921
958	56422.63553
959	56422.33532
960	56422.02827
961	56421.59149
962	56421.44575
963	56421.07436
964	56420.86973
965	56420.76764
966	56420.59425
967	56420.47796
968	56420.21288
969	56420.03101
970	56419.51834
971	56419.34322
972	56419.0095
973	56418.93529
974	56418.67983
975	56418.48797
976	56418.25543
977	56418.13348
978	56418.07378
979	56417.93282
980	56417.80836
981	56417.526
982	56417.41771
983	56417.21391
984	56417.08853
985	56417.07208
986	56416.87909
987	56416.58146
988	56416.46974
989	56416.18295
990	56415.86196
991	56415.37091
992	56415.31018
993	56414.92298
994	56414.70139
995	56414.37166
996	56413.83642
997	56413.7638
998	56413.50438
999	56412.41248
